RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
;;;;;17320,;;;B>A;A;Сосновый Бор - ДС Ангарская-4;67;185695;;14404,14633,14629,14384,14382,14649,14651,14675,14488,14677,15418,15419,15420,15421,14774,14775,15363,15404,15405,15407,15408,15409,15410,15411,15303,15304,15833,68909;;
;;;;;17318,;;0.08;B1>D;A;Сосновый Бор - Опытное поле - АП-6;12345;198679;;14404,14633,14629;;
27д;;;;;;;;A>B;A;ДС Ангарская-4 - Запорожская пл.;12345;198681;;68909,15330,15331,15332,15413,15414,15406,15417,14738,14739,14774;;d1-d5 - 01.06.2017
;;;;;;;;B>A;A;Запорожская пл. - ДС Ангарская-4;12345;198680;;14774,14775,15404,15405,15410,15833,68909;;
28;;;;5 АП;;;;A>B;A;ДС Серова - Масюковщина;1234567;177634;;69176,15068,15069,15070,15052,15053,15056,15057,15058,15031,15032,15947,72680,72679,16230,14991,15857,69018,15594,15595,15635,15636,15637,71807,73042,15214,15215,15589,15588,14853,14593,15245,15246,15259,15260,15261,15228,58358,16234,133181,16235;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Масюковщина -  ДС Серова;1234567;177635;;16235,16233,133157,15240,15241,15242,15243,15244,14681,14852,15562,15587,14903,14905,71803,73043,15649,15650,15651,15570,15571,69269,14911,14912,16229,16231,71916,72681,15949,15950,15030,15047,15048,15049,15050,15051,15066,15067,69175,69176;;
;;;;;;;0.62;A1>D;A;ДС Серова - АП 5(до Я.Брыля);1234567;177630;;69176,15068,15069,15070,15052,15053,15056,15057,15058,15031,15032,15947,72680,72679,16230,14991,15857,69018,15594,15595,15635,15636,15637,71807,73042,15214;;
;;;;;;;0.34;B1>D;A;Масюковщина - АП5(до Глаголева);1234567;177631;;16235,16233,133157,15240,15241,15242,15243,15244,14681,14852,15562,15587,14903,14905;;
;;;;;;;0.62;D>A1;A;АП 5 - ДС Серова(с Я.Брыля);1234567;177628;;71803,73043,15649,15650,15651,15570,15571,69269,14911,14912,16229,16231,71916,72681,15949,15950,15030,15047,15048,15049,15050,15051,15066,15067,69175,69176;;
;;;;;;;0;D>B;A;АП 5 - Масюковщина;1234567;177636;;14593,15245,15246,15259,15260,15261,15228,58358,16234,133181,16235;;
29;;;;7 АП;17229,;;;A>B;A;ДС Карастояновой - ДС Кунцевщина;1234567;197746;;15714,15713,58346,15720,15728,15731,15736,14471,15741,15218,15011,15526,15039,15040,15041,54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14596,15561,15560,15559,15520,15521,15522,15858;;d1-d5 - 20.03.2017<br>d6-d7 - 04.03.2017
;;;;;;;;B>A;A;ДС Кунцевщина - ДС Карастояновой;1234567;197744;;15858,15553,15554,15555,15556,15557,15558,14615,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15084,15112,15113,15890,15743,58359,15740,15737,15732,15730,15719,15718,15717,15716,15715,15750,15714;;
;;;;;17245,;;0;B>D;A;Кунцевщина дс - D АП 7;12345;198268;;15858,15553,15554,15555,15556,15557,15558,14615,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519;;
;;;;;17229,;;0.49;B1>D;A;ДС Кунцевщина  -  АП 7;67;197748;;15858,15553,15554,15555,15556,15557,15558,14615,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519;;
;;;;;17245,;;0;D>B;A;D АП 7 - Кунцевщина дс;12345;198266;;54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14596,15561,15560,15559,15520,15521,15522,15858;;
30с;;;;5 АП;17288,;;;A>B;A;Корженевского - Красный Бор;1234567;201342;;71466,15056,15057,15058,15031,15032,15947,15948,14991,15595,15635,15636,15637,15638,58341,58337,14874,14875,14876,14877,14889,14890,16007;;d1-d5 - 02.05.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Красный Бор - Корженевского;1234567;201341;;16007,14893,15178,14870,14871,14872,14873,58335,58336,15647,15649,15650,15651,15570,15571,16255,15949,15950,15030,15047,15048,15049,15054,71466;;
;;;;;;;0.07;B1>D;A;Красный Бор - D(подбор);12345;201344;;16007,14893,15178,15170;;
;;;;;17320,;;0.07;B1>D;A;Красный Бор - D (подбор);67;201188;;16007,14893,15178,15170;;
;;;;;17288,;;0.06;D>B1;A;D - Красный Бор;12345;201343;;14889,14890,16007;;
;;;;;17320,;;0.06;D>B1;A;D - Красный Бор (подбор);67;201187;;14889,14890,16007;;
31;;;;7 АП;17348,;;;A>B;A;ДС Уручье-2  - Колодищанское кладбище;1234567;204114;;14386,14382,14649,14651,73195,14378,14642,14636,69032,16146,91052,16147,271153,16144,16142,16140,16138,16136;;d1-d7 - 01.07.2017
;;;;;;;;B>A;A;Колодищанское кладбище - ДС Уручье-2;1234567;204113;;16136,16139,16141,16148,16143,91054,16145,91053,73715,69033,14637,277102,14656,14653,14650,14381,14383,14386;;
32с;;;;2 АП;17318,;;;A>B;A;ДС Малиновка-4 - ДС  Дружная;1234567;197404;;54638,14951,14952,14953,14954,14930,14931,14986,14987,143099,14919,14920,14921,69034,211130,15691,15694,15696,15698,15699,15700,15701,15844,71378;;d1-d5 - 01.06.2017<br>d6 - 01.07.2017<br>d7 - 01.07.2017
;;;;;;;;B>A;A;ДС  Дружная - ДС Малиновка-4;1234567;197403;;71378,204368,15667,15668,15669,15675,14718,15684,15685,15689,72458,14911,14922,14923,14924,14976,14977,14945,14946,14947,14948,14949,14950,147112,54638;;
33;;;;7 АП;;;;A>B;A;Копище - Ст.м. Уручье;12345;201232;;144043,161015,14663,14380,14673,14652;;d1-d5 - 01.06.2017
;;;;;;;;B>A;A;Ст.м. Уручье - Копище;12345;201231;;14652,14654,14658,14661,144041,144042,144043;;
34;;;;4 АП;;;;A>B;A;ДС Славинского - пер. Липковский;1234567;185578;;15014,14350,14347,14403,14346,14342,14422,14421,14419,14417,14415,14414,16018,16002,54765,54766,16017,207001;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;пер. Липковский - ДС Славинского;1234567;185579;;207001,14412,14413,14416,14631,14418,14420,14341,14343,14344,14348,14997,15014;;
35;;;;7 АП;;;;A>B;A;ДС Зелёный Луг-6 - Макаёнка;12345;198727;;15788,15787,15784,15782,58332,14438,14358,14362,69222,14353,14996,14351,14350,14347,14403,14423,14425,14427,14428;;d1-d5 - 01.06.2017
;;;;;;;;B>A;A;Макаёнка - ДС Зеленый Луг-6;12345;198728;;14428,14426,14424,14344,14348,14349,14352,58345,14357,14363,14361,14359,14440,14458,14459,15783,15785,15786,15788;;
36;;;;5 АП;;;;A>B;A;ДС Кунцевщина - Тарасово;1234567;170632;;15858,14606,14607,14608,14610,73868,111331,111333,111334;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Тарасово - ДС Кунцевщина;1234567;170634;;111334,133410,111332,14612,72617,14600,14601,15522,15858;;
;;;;;;;0.35;D>A1;A;D - ДС Кунцевщина;12345;170629;;14612,72617,14600,14601,15522,15858;;
;;;;;;;0.78;D>B1;A;АП 5 - Тарасово;1234567;170633;;14608,14610,73868,111331,111333,111334;;
37;;;;7 АП;17077,;;;A>B;A;ДС Карбышева - ДС Восточная;1234567;190321;;14364,14358,14362,69222,14353,14484,14483,14480,14390,14392,14395,14397,14399,14401,14403,14490,14492,15859,14767,15515,15516,15480,15605,15606,15607,15629;;d1-d5 - 03.10.2016<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;ДС Восточная - ДС Карбышева;1234567;190322;;15629,15630,15631,15632,15481,15479,15482,15483,15514,15952,14756,14494,14495,14344,14402,14400,14398,14396,14394,14391,14454,14481,14482,14485,58345,14357,14363,14361,14359,14440,14364;;
;;;;;;;0.4;D>B1;A;D АП 7 - Парк Челюскинцев;12345;190323;;14492,15859,14767,15515,15516,15480,15605,15606,15607,15629;;
38;;;;;17308,;;;A>B;A;ДС Карастояновой - ДС Дружная;1234567;202066;;15750,15714,15713,58346,15724,15726,15727,15728,14468,14469,15565,15566,15122,15774,15891,15914;;d1-d5 - 22.05.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;ДС Дружная - ДС Карастояновой;1234567;202067;;15914,15912,15920,15599,15600,15601,15602,15219,15730,15729,15751,15725,15717,15716,15715,15750;;
39;;;;4 АП;17318,;;;A>B;A;ДС Восточная - Щедрина;12345;202256;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,15145,15146,15148;;d1-d5 - 01.06.2017
;;;;;;;;B>A;A;Щедрина - ДС Восточная;12345;202257;;15148,15149,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
